City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption,Rain inches (last 3 hours),Snow inches (last 3 hours)
121,Arras,FR,2020-01-04 20:53:42,50.29,2.78,45.0,93,90,8.05,overcast clouds,0.0,0.0
122,Roma,IT,2020-01-04 20:51:50,41.89,12.48,50.0,87,40,2.24,scattered clouds,0.0,0.0
123,Provideniya,RU,2020-01-04 20:50:14,64.42,-173.23,-12.82,78,60,10.63,broken clouds,0.0,0.0
124,Saldanha,PT,2020-01-04 20:53:43,41.42,-6.55,38.01,86,0,4.61,clear sky,0.0,0.0
125,Mar Del Plata,AR,2020-01-04 20:53:43,-46.43,-67.52,64.15,42,17,13.82,few clouds,0.0,0.0
126,Iqaluit,CA,2020-01-04 20:50:17,63.75,-68.52,-18.4,68,40,32.21,scattered clouds,0.0,0.0
127,Grand Gaube,MU,2020-01-04 20:53:43,-20.01,57.66,78.01,94,75,2.24,broken clouds,0.0,0.0
128,Claresholm,CA,2020-01-04 20:53:43,50.02,-113.58,42.01,55,90,29.75,overcast clouds,0.0,0.0
129,Bambous Virieux,MU,2020-01-04 20:53:44,-20.34,57.76,78.01,94,75,2.24,broken clouds,0.0,0.0
130,Mangrol,IN,2020-01-04 20:53:31,25.33,76.51,53.56,67,0,2.95,clear sky,0.0,0.0
131,Bowen,AU,2020-01-04 20:53:44,-20.01,148.25,75.99,83,75,4.7,broken clouds,0.0,0.0
132,Upernavik,GL,2020-01-04 20:49:59,72.79,-56.15,-35.36,97,64,12.21,broken clouds,0.0,0.0
133,Acapulco,MX,2020-01-04 20:51:39,16.86,-99.88,86.0,66,40,4.7,scattered clouds,0.0,0.0
134,Shihezi,CN,2020-01-04 20:53:45,44.3,86.03,8.85,94,100,0.98,overcast clouds,0.0,0.0
135,Polohy,UA,2020-01-04 20:50:08,47.48,36.26,37.67,83,95,8.48,overcast clouds,0.0,0.0
136,Coahuayana,MX,2020-01-04 20:53:46,18.62,-100.35,90.01,25,0,3.42,clear sky,0.0,0.0
137,Broome,GB,2020-01-04 20:53:46,52.47,1.45,45.0,87,74,5.82,broken clouds,0.0,0.0
138,Saint Anthony,US,2020-01-04 20:53:46,43.97,-111.68,37.4,85,90,16.42,overcast clouds,0.0,0.0
139,Fortuna,US,2020-01-04 20:53:46,40.6,-124.16,55.99,81,1,5.82,clear sky,0.0,0.0
140,Paramonga,PE,2020-01-04 20:53:47,-10.68,-77.82,69.85,87,78,8.9,broken clouds,0.0,0.0
141,Belyy Yar,RU,2020-01-04 20:53:47,53.6,91.39,10.4,85,100,2.24,mist,0.0,0.0
142,Mohan,IN,2020-01-04 20:53:47,26.78,80.67,55.4,93,40,5.82,mist,0.0,0.0
143,Narsaq,GL,2020-01-04 20:50:15,60.91,-46.05,26.6,86,75,3.38,broken clouds,0.0,0.0
144,Kozyatyn,UA,2020-01-04 20:53:48,49.71,28.83,31.28,92,100,7.09,overcast clouds,0.0,0.0
145,Taltal,CL,2020-01-04 20:53:48,-25.41,-70.49,64.49,71,0,5.93,clear sky,0.0,0.0
146,Airai,TL,2020-01-04 20:51:10,-8.93,125.41,69.01,80,94,5.53,overcast clouds,0.0,0.0
147,Te Anau,NZ,2020-01-04 20:53:48,-45.41,167.72,47.88,82,100,8.14,moderate rain,5.81,0.0
148,Santa Cruz Del Sur,CU,2020-01-04 20:53:48,20.71,-78.0,79.79,75,0,7.18,clear sky,0.0,0.0
149,Mecca,SA,2020-01-04 20:53:49,21.43,39.83,65.03,51,97,6.17,overcast clouds,0.0,0.0
150,Souillac,FR,2020-01-04 20:53:49,45.6,-0.6,43.0,86,0,5.82,clear sky,0.0,0.0
151,Labuhan,ID,2020-01-04 20:53:49,-2.54,115.51,74.75,89,100,1.97,light rain,0.63,0.0
152,Ponta Do Sol,BR,2020-01-04 20:53:49,-20.63,-46.0,72.32,89,100,2.01,moderate rain,10.63,0.0
