City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Tura,RU,2020-01-04 05:11:56,64.27,100.22,-6.59,98,95,2.66
140,Kruisfontein,ZA,2020-01-04 05:14:06,-34.0,24.73,73.24,74,89,5.66
141,Cayenne,GF,2020-01-04 05:12:01,4.94,-52.33,78.8,83,90,3.36
142,Takoradi,GH,2020-01-04 05:14:06,4.89,-1.75,73.94,60,29,7.31
143,Duzce,TR,2020-01-04 05:14:06,40.84,31.16,35.44,84,100,4.07
144,Victoria,BN,2020-01-04 05:12:16,5.28,115.24,86.0,74,75,10.29
145,Conakry,GN,2020-01-04 05:14:07,9.52,-13.7,71.4,45,1,5.61
146,Murgab,TM,2020-01-04 05:14:07,37.5,61.97,37.4,86,75,4.7
147,Emerald,AU,2020-01-04 05:11:41,-23.53,148.16,95.0,23,0,11.41
148,Monduli,TZ,2020-01-04 05:14:07,-3.3,36.45,60.8,93,20,4.99
149,Usogorsk,RU,2020-01-04 05:14:08,63.43,48.71,33.31,97,100,14.52
150,Puerto Madryn,AR,2020-01-04 05:10:30,-42.77,-65.04,74.32,34,16,13.94
151,Ayan,IR,2020-01-04 05:12:41,38.23,44.7,28.4,92,75,2.26
152,Kavieng,PG,2020-01-04 05:11:35,-2.57,150.8,85.26,67,98,3.53
153,Dikson,RU,2020-01-04 05:11:24,73.51,80.55,-11.54,94,5,12.35
154,Flinders,AU,2020-01-04 05:14:09,-34.58,150.85,102.0,34,32,4.7
155,Sinnamary,GF,2020-01-04 05:14:09,5.38,-52.96,79.61,81,81,14.14
156,Smolenka,PL,2020-01-04 05:14:09,54.15,22.76,37.17,84,100,12.93
157,Hofn,IS,2020-01-04 05:11:47,64.25,-15.21,33.55,66,100,19.33
158,Bar Harbor,US,2020-01-04 05:11:56,44.39,-68.2,37.99,100,1,3.36
159,Honiara,SB,2020-01-04 05:12:45,-9.43,159.96,89.6,66,20,9.17
160,Vila Franca Do Campo,PT,2020-01-04 05:12:10,37.72,-25.43,62.6,88,75,9.17
161,Vao,EE,2020-01-04 05:11:59,59.1,26.19,34.57,78,40,13.0
162,Tripoli,GR,2020-01-04 05:14:10,37.51,22.37,45.0,40,0,6.93
163,El Jicaro,GT,2020-01-04 05:14:11,14.91,-89.89,63.54,86,31,2.1
164,Salalah,OM,2020-01-04 05:12:00,17.01,54.1,71.6,60,3,3.36
165,Dawlatabad,AF,2020-01-04 05:14:11,36.41,64.91,48.24,63,73,7.4
166,Morehead,US,2020-01-04 05:14:11,38.18,-83.43,53.6,100,90,4.7
167,Yellowknife,CA,2020-01-04 05:14:12,62.45,-114.38,-13.0,75,75,5.82
168,Rexburg,US,2020-01-04 05:14:12,43.82,-111.79,17.6,92,1,2.19
169,Kinsale,IE,2020-01-04 05:14:12,51.71,-8.52,41.0,93,75,8.05
170,Lillooet,CA,2020-01-04 05:14:12,50.69,-121.94,42.8,100,90,16.11
171,Namibe,AO,2020-01-04 05:14:12,-15.19,12.15,72.64,96,100,2.89
172,Maamba,ZM,2020-01-04 05:14:13,-17.36,27.22,77.32,72,84,4.27
173,Sola,TZ,2020-01-04 05:14:13,-3.17,33.8,71.31,69,87,16.13
174,Saint Paul,US,2020-01-04 05:14:13,44.95,-93.1,24.8,73,90,10.29
175,Cacequi,BR,2020-01-04 05:11:01,-29.88,-54.83,63.99,86,2,9.51
176,Tuatapere,NZ,2020-01-04 05:14:14,-46.13,167.69,54.0,67,61,14.0
177,Edd,ER,2020-01-04 05:12:12,13.93,41.69,86.36,39,0,2.46
178,Sibolga,ID,2020-01-04 05:14:15,1.74,98.78,90.39,50,37,2.95
179,Shadrinsk,RU,2020-01-04 05:14:15,56.09,63.63,22.69,87,99,15.52
180,Lata,IN,2020-01-04 05:14:15,30.78,78.62,14.38,81,35,7.16
181,Lasa,CY,2020-01-04 05:13:21,34.92,32.53,46.4,81,20,6.93
182,Mackenzie,CA,2020-01-04 05:12:10,55.34,-123.09,19.4,92,90,3.36
183,Juneau,US,2020-01-04 05:11:26,58.3,-134.42,26.6,68,90,5.23
184,Iqaluit,CA,2020-01-04 05:08:05,63.75,-68.52,8.6,84,90,3.36
185,Saint George,GR,2020-01-04 05:12:38,39.45,22.34,36.0,85,0,1.61
186,Mehamn,NO,2020-01-04 05:11:14,71.03,27.85,29.21,81,90,25.48
187,Norman Wells,CA,2020-01-04 05:11:26,65.28,-126.83,-22.0,74,75,4.7
188,Ullapool,GB,2020-01-04 05:14:17,57.9,-5.16,46.0,93,100,1.99
189,Kondinskoye,RU,2020-01-04 05:14:17,59.65,67.41,22.37,93,100,14.61
190,Cockburn Town,TC,2020-01-04 05:11:19,21.46,-71.14,79.34,76,58,17.94
191,Narsaq,GL,2020-01-04 05:11:53,60.91,-46.05,33.8,29,100,34.45
192,Trofors,NO,2020-01-04 05:14:18,65.54,13.39,35.6,74,100,28.86
193,Worland,US,2020-01-04 05:14:18,44.02,-107.96,26.6,73,1,6.93
194,Kaitangata,NZ,2020-01-04 05:11:37,-46.28,169.85,50.31,72,61,30.27
195,East London,ZA,2020-01-04 05:10:53,-33.02,27.91,73.4,100,90,9.91
196,Waipawa,NZ,2020-01-04 05:12:26,-39.94,176.59,61.21,50,100,5.79
197,Khatanga,RU,2020-01-04 05:11:17,71.98,102.47,-3.05,97,100,5.5
198,Mogok,MM,2020-01-04 05:14:19,22.92,96.51,68.67,77,65,3.69
199,Salina,US,2020-01-04 05:12:42,38.84,-97.61,37.4,47,90,16.11
200,Champerico,MX,2020-01-04 05:13:01,16.38,-93.6,75.2,69,40,5.82
201,Samarai,PG,2020-01-04 05:12:22,-10.62,150.67,83.62,75,95,5.64
202,Gold Coast,AU,2020-01-04 05:14:20,-28.0,153.41,93.0,58,0,19.46
203,Aklavik,CA,2020-01-04 05:14:20,68.22,-135.01,-18.4,68,90,8.05
204,Inhambane,MZ,2020-01-04 05:11:47,-23.87,35.38,78.8,88,20,4.7
205,Hailar,CN,2020-01-04 05:14:21,49.2,119.7,4.23,95,17,8.14
206,Kaseda,JP,2020-01-04 05:14:21,31.42,130.32,55.4,28,20,17.22
207,Dzaoudzi,YT,2020-01-04 05:14:21,-12.79,45.27,84.2,89,20,5.82
208,Roebourne,AU,2020-01-04 05:14:21,-20.77,117.15,98.31,34,0,14.47
209,Mount Gambier,AU,2020-01-04 05:11:54,-37.83,140.78,62.6,59,75,19.46
210,Santa Fe,AR,2020-01-04 05:14:22,-31.62,-60.7,75.0,60,0,1.99
211,Nampula,MZ,2020-01-04 05:14:22,-15.12,39.26,75.2,94,75,2.24
212,Bandarbeyla,SO,2020-01-04 05:11:43,9.49,50.81,78.26,76,90,14.5
213,Yenagoa,NG,2020-01-04 05:14:22,4.92,6.26,68.94,32,85,5.26
214,The Valley,AI,2020-01-04 05:14:23,18.22,-63.06,79.0,78,20,11.41
215,Belchatow,PL,2020-01-04 05:14:23,51.37,19.36,39.99,93,75,16.11
216,Las Vegas,US,2020-01-04 05:10:50,36.17,-115.15,50.0,56,1,0.38
217,Ketchikan,US,2020-01-04 05:14:24,55.34,-131.65,30.2,92,90,17.22
218,Merauke,ID,2020-01-04 05:14:24,-8.49,140.4,88.03,59,100,10.4
219,Port-Cartier,CA,2020-01-04 05:14:24,50.03,-66.88,21.2,85,90,4.7
220,Isangel,VU,2020-01-04 05:12:10,-19.55,169.27,80.6,69,75,9.17
221,Bonfim,GY,2020-01-04 05:14:24,3.36,-59.84,77.68,67,1,12.28
222,Teya,MX,2020-01-04 05:14:24,21.05,-89.07,75.99,94,75,13.87
223,Balkanabat,TM,2020-01-04 05:14:25,39.51,54.36,40.37,58,0,11.7
224,Chapada Dos Guimaraes,BR,2020-01-04 05:14:25,-15.46,-55.75,78.8,78,6,3.36
225,Namatanai,PG,2020-01-04 05:12:46,-3.66,152.44,85.71,69,57,5.61
226,Baley,RU,2020-01-04 05:14:25,51.58,116.65,8.44,91,28,4.56
227,Lima,PE,2020-01-04 05:14:26,-12.06,-77.04,71.6,88,40,13.87
228,Mbekenyera,TZ,2020-01-04 05:14:26,-10.0,38.98,77.07,85,100,5.55
229,Longyearbyen,NO,2020-01-04 05:11:43,78.22,15.63,6.8,55,40,16.11
230,Lethem,GY,2020-01-04 05:14:26,3.38,-59.8,77.68,67,1,12.28
231,Kizukuri,JP,2020-01-04 05:14:26,40.81,140.39,32.0,63,75,13.87
232,Honningsvag,NO,2020-01-04 05:14:27,70.98,25.97,32.88,80,99,35.16
233,Cabo San Lucas,MX,2020-01-04 05:11:45,22.89,-109.91,64.99,77,5,4.7
234,Khudumelapye,BW,2020-01-04 05:14:27,-23.91,24.95,81.77,42,11,12.1
235,Rocha,UY,2020-01-04 05:14:27,-34.48,-54.34,57.49,94,0,3.06
236,Chazuta,PE,2020-01-04 05:14:27,-6.57,-76.13,62.6,100,20,1.16
237,Spring Hill,US,2020-01-04 05:12:41,28.46,-82.54,75.2,94,40,10.29
238,Big Spring,US,2020-01-04 05:14:28,32.25,-101.48,39.2,55,1,5.82
239,Ambilobe,MG,2020-01-04 05:14:28,-13.19,49.05,85.15,70,77,3.22
240,Takab,IR,2020-01-04 05:14:28,36.4,47.11,28.81,83,85,4.65
241,Shubarshi,KZ,2020-01-04 05:14:28,48.59,57.19,16.74,90,70,7.38
242,Chimbote,PE,2020-01-04 05:14:29,-9.08,-78.59,68.54,85,74,3.71
243,Balad,ID,2020-01-04 05:14:29,-6.76,108.42,84.2,67,100,1.12
244,Vaitape,PF,2020-01-04 05:14:29,-16.52,-151.75,81.54,79,36,10.54
245,Mahebourg,MU,2020-01-04 05:11:24,-20.41,57.7,78.01,100,75,5.82
246,Okakarara,NA,2020-01-04 05:14:30,-20.59,17.46,73.62,65,100,3.51
247,Brokopondo,SR,2020-01-04 05:14:30,5.06,-54.98,73.4,94,70,1.12
248,Pangoa,PE,2020-01-04 05:14:30,-12.12,-73.0,69.39,98,100,2.19
249,Avera,US,2020-01-04 05:12:53,33.19,-82.53,64.4,93,90,2.86
250,Vestmanna,FO,2020-01-04 05:14:31,62.16,-7.17,35.6,55,77,8.05
251,Talnakh,RU,2020-01-04 05:13:05,69.49,88.39,-2.2,77,100,20.13
252,Nuuk,GL,2020-01-04 05:14:31,64.17,-51.74,21.2,85,98,13.87
253,Melfi,IT,2020-01-04 05:14:31,41.0,15.66,35.6,80,5,6.93
254,Ertil,RU,2020-01-04 05:14:31,51.84,40.8,27.12,90,97,15.37
255,Guerande,FR,2020-01-04 05:14:32,48.47,-4.17,41.0,86,40,3.36
256,Ponta Do Sol,BR,2020-01-04 05:11:01,-20.63,-46.0,66.72,97,100,1.52
257,Sept-Iles,CA,2020-01-04 05:14:32,50.2,-66.38,21.2,85,90,4.7
258,Lorengau,PG,2020-01-04 05:11:44,-2.02,147.27,85.48,68,97,5.53
259,Banda Aceh,ID,2020-01-04 05:12:12,5.56,95.32,88.56,54,0,9.95
260,Angoche,MZ,2020-01-04 05:14:33,-16.23,39.91,82.8,81,97,4.47
261,Kambove,CD,2020-01-04 05:14:33,-10.88,26.6,63.01,98,100,4.21
262,Ostrovnoy,RU,2020-01-04 05:12:39,68.05,39.51,22.32,86,58,27.56
263,Rantepao,ID,2020-01-04 05:14:33,-2.97,119.9,80.29,76,85,3.2
264,Sweetwater,US,2020-01-04 05:14:34,32.47,-100.41,46.4,39,1,9.17
265,Bambanglipuro,ID,2020-01-04 05:14:34,-7.95,110.28,80.91,79,100,12.59
266,Krasnovishersk,RU,2020-01-04 05:14:34,60.4,57.08,30.96,94,100,11.63
267,Lexington,US,2020-01-04 05:14:34,38.05,-84.5,52.0,93,90,7.99
268,Malindi,KE,2020-01-04 05:14:34,-3.22,40.12,77.0,88,40,6.96
269,Campo Maior,BR,2020-01-04 05:14:35,-4.83,-42.16,74.61,94,100,2.48
270,Luwuk,ID,2020-01-04 05:14:35,-0.95,122.79,86.61,70,100,14.56
271,Cherskiy,RU,2020-01-04 05:11:28,68.75,161.3,0.12,62,10,9.73
272,Olinda,AU,2020-01-04 05:14:35,-37.84,145.39,70.0,64,75,23.04
273,Vieste,IT,2020-01-04 05:14:36,41.88,16.18,46.0,80,5,6.93
274,Husavik,CA,2020-01-04 05:11:15,50.56,-96.99,28.0,93,100,5.21
275,Manokwari,ID,2020-01-04 05:12:49,-0.87,134.08,75.16,93,78,9.26
276,Sassandra,CI,2020-01-04 05:11:59,4.95,-6.09,70.72,43,3,6.4
277,Puerto Baquerizo Moreno,EC,2020-01-04 05:14:37,-0.9,-89.6,74.59,87,43,12.06
278,Saint Peter,US,2020-01-04 05:14:37,44.32,-93.96,24.8,92,90,12.75
279,Dudinka,RU,2020-01-04 05:14:37,69.41,86.18,-2.2,77,100,20.13
280,La Ronge,CA,2020-01-04 05:11:50,55.1,-105.3,14.0,85,90,2.24
281,Porto Torres,IT,2020-01-04 05:14:37,40.84,8.4,55.4,82,100,4.7
282,Antalaha,MG,2020-01-04 05:14:38,-14.9,50.28,80.33,76,77,4.63
283,Kampong Thum,KH,2020-01-04 05:14:38,12.71,104.89,90.84,37,90,11.18
284,Koutiala,ML,2020-01-04 05:14:38,12.39,-5.46,53.19,20,0,8.72
285,Yeppoon,AU,2020-01-04 05:14:38,-23.13,150.74,89.6,27,1,13.87
286,Pangkalanbuun,ID,2020-01-04 05:12:56,-2.68,111.62,91.04,55,88,4.76
287,Ushtobe,KZ,2020-01-04 05:14:39,45.25,77.98,31.15,90,97,0.72
288,Tabuk,PH,2020-01-04 05:14:39,17.41,121.44,77.85,74,69,6.69
289,College,US,2020-01-04 05:08:22,64.86,-147.8,-27.4,74,1,3.91
290,Berlevag,NO,2020-01-04 05:11:18,70.86,29.09,32.58,77,61,29.42
291,Clyde River,CA,2020-01-04 05:11:51,70.47,-68.59,-34.6,73,1,2.24
292,Phek,IN,2020-01-04 05:14:40,25.7,94.46,63.39,51,3,6.06
293,Yar-Sale,RU,2020-01-04 05:14:40,66.83,70.83,5.29,96,93,11.3
294,San Andres,PH,2020-01-04 05:14:40,13.32,122.68,82.56,65,16,13.94
295,Thenzawl,IN,2020-01-04 05:14:40,23.28,92.78,64.4,88,75,3.36
296,Muros,ES,2020-01-04 05:14:40,42.77,-9.06,48.99,100,75,5.82
297,Palatka,RU,2020-01-04 05:14:41,60.1,150.94,12.11,77,78,14.16
298,Maldonado,UY,2020-01-04 05:10:26,-34.91,-54.96,66.88,78,0,13.87
299,Virginia Beach,US,2020-01-04 05:14:41,36.85,-75.98,59.0,100,90,4.27
300,Cidreira,BR,2020-01-04 05:11:13,-30.17,-50.22,72.23,80,12,22.77
301,Arzgir,RU,2020-01-04 05:14:41,45.37,44.21,29.97,77,0,7.54
